Job #,Channel,Ad,Item,rent,Amount,Shipping,Total Amount,Paid by F,Farahy Income,items,date
2,FB,N,"1 robe, 1 slippers",,390.0,50.0,440.0,,440.0,"['robe', 'slippers']",2021-06-19
3,IG,N,"1 robe, 1 slippers, 1 hat, 1 balloon-helium",,685.0,100.0,785.0,,785.0,"['robe', 'slippers', 'hat', 'balloon-helium']",2021-07-09
4,IG,Y,14 box,,500.0,40.0,540.0,,540.0,['box'],2021-07-10
5,FB,Y,"5 robe, 2 slippers",,1645.0,40.0,1685.0,,1685.0,"['robe', 'slippers']",2021-07-10
6,ZAMMIT,Y,"2 robe, 1 slippers",,680.0,40.0,720.0,,720.0,"['robe', 'slippers']",2021-07-12
7,FB,N,2 robe,TRUE,150.0,0.0,150.0,,150.0,['robe'],2021-07-21
8,FB,Y,3 robe,,855.0,50.0,905.0,,905.0,['robe'],2021-07-19
9,FB,N,"2 robe, 2 slippers",,820.0,50.0,870.0,,870.0,"['robe', 'slippers']",2021-08-06
11,IG,Y,1 robe,,320.0,50.0,370.0,,320.0,['robe'],2021-08-22
12,IG,Y,"1 robe, 1 slippers",,430.0,50.0,495.0,,495.0,"['robe', 'slippers']",2021-08-26
10,IG,Y,"11 eye mask, 11 mirror",,1485.0,0.0,1485.0,,1440.0,"['eye mask', 'mirror']",2021-08-17
13,IG,Y,"2 robe, 2 slippers",,860.0,50.0,910.0,,910.0,"['robe', 'slippers']",2021-08-25
14,IG,Y,2 tshirt,,350.0,50.0,400.0,,355.0,['tshirt'],2021-08-25
16,IG,Y,1 jerb,,600.0,50.0,650.0,,150.0,['jerb'],2021-08-26
15,ZAMMIT,Y,"1 robe, 1 mandeel-katb-ketab, 1 bathrobe-pack",,1690.0,40.0,1730.0,,1730.0,"['robe', 'mandeel-katb-ketab', 'bathrobe-pack']",2021-08-26
17,IG,Y,"1 robe, 1 slippers",,409.5,65.0,474.5,,409.5,"['robe', 'slippers']",2021-08-29
21,NADINE,N,"14 mirror, 14 makeup-bag",,1680.0,50.0,1730.0,,1680.0,"['mirror', 'makeup-bag']",2021-09-11
26,IG,Y,1 slippers,,110.0,45.0,155.0,,155.0,['slippers'],2021-09-25
27,IG,Y,1 slippers,,110.0,45.0,155.0,,150.0,['slippers'],2021-09-26
30,FB,N,"1 bathrobe-pack, 1 pyjama",,1587.0,45.0,1632.0,,1632.0,"['bathrobe-pack', 'pyjama']",2021-09-21
22,IG,N,1 mandeel-katb-ketab,,390.0,50.0,440.0,,440.0,['mandeel-katb-ketab'],2021-09-12
23,ALEYA,N,1 mandeel-katb-ketab,,400.0,45.0,445.0,,445.0,['mandeel-katb-ketab'],2021-09-15
26,IG,Y,1 robe,,449.0,50.0,499.0,,449.0,['robe'],2021-09-26
28,IG,Y,8 robe,1,800.0,65.0,865.0,,800.0,['robe'],2021-09-26
31,IG,Y,"42 box, 19 pin-cards, 23 bracelet-cards, 20 candle",,1706.4,45.0,1751.4,,1705.0,"['box', 'pin-cards', 'bracelet-cards', 'candle']",2021-09-29
32,IG,Y,"1 robe, 1 slippers, 11 box",,793.0,45.0,838.0,,840.0,"['robe', 'slippers', 'box']",2021-09-29
33,IG,N,2 slippers,,944.0,60.0,1004.0,,960.0,['slippers'],2021-10-10
29,IG,Y,"13 robe, 14 fan",1,1720.0,72.0,2592.0,,1798.0,"['robe', 'fan']",2021-09-26
19,IG,Y,1 robe,,320.0,45.0,365.0,,320.0,['robe'],2021-09-25
